	WcL17	Wcp3a	W_bombi	W_cibaria	W_confusaLBAE	W_confusaDSM	W_confusaMBF8	W_confusaAB3E41	W_halotolerans	W_hellenica	W_jogaejeotgali	W_kandleri	W_koreensis	W_minor	W_oryzae	W_paramesenteroides	W_viridescens
WcL17	1.0	0.8610029101724463	0.04829483976739395	0.27707274046143804	0.8597473464801801	0.8698896696668623	0.8173676356277126	0.8569133474946722	0.015467973387762733	0.03636244025144167	0.03649228137783941	0.0209213006964678	0.01946058802449323	0.03644207614229895	0.028078143583511215	0.037331487858123465	0.033700264356533345
Wcp3a	0.8933933670955884	1.0	0.04910077346011918	0.28729218002763673	0.8834317504413388	0.8922814311639355	0.8446505148541796	0.8725284012957017	0.017023936711265356	0.038072578519248036	0.04247406642963929	0.022068066107195833	0.020931879553447247	0.03623447118150378	0.029923471323863915	0.04241433804558847	0.03645452312274362
W_bombi	0.061280651721318184	0.06004445052202179	1.0	0.05498596573893913	0.05792462083331274	0.05798118623692337	0.059561173287290194	0.058702257838289945	0.02167827904976712	0.7131842972242862	0.2300899389917409	0.023065504384917137	0.023213233448715773	0.038953792655394226	0.03123014375850197	0.22182589827783059	0.038708309787297605
W_cibaria	0.2483505842929305	0.24817446040723412	0.03884191174331224	1.0	0.2361340263976342	0.2343972276393464	0.24265487748721648	0.23500435072550238	0.01574679437070819	0.03260464338598558	0.03601772256298272	0.016360124466051732	0.0145511692259588	0.03151686502586965	0.023951296702409988	0.04029202426475067	0.030530338503125424
W_confusaLBAE	0.8697194075018476	0.8612777273793971	0.046179462212306004	0.2664989509742455	1.0	0.8627698307898691	0.8488702395421414	0.8720000315233115	0.01632907535122223	0.034970298035397175	0.03744268886841819	0.02185090874701842	0.018210841917598065	0.03513185500677751	0.02875013572536891	0.037533318388948626	0.03546109848232768
W_confusaDSM	0.9060498470903898	0.8956775085831338	0.04759401777213583	0.2723761035457719	0.8883304542569459	1.0	0.847943744410144	0.8682597155304232	0.015281043535962609	0.0346846058971178	0.03694984997547676	0.02143168835290384	0.0178555328755662	0.03592113614725484	0.027625158679784195	0.0372690127232336	0.035395058567265804
W_confusaMBF8	0.865653573740074	0.8621158616744499	0.04971269267650515	0.28671098203366646	0.8887092072188028	0.8621956183341309	1.0	0.8753605092691906	0.017106428386770296	0.03822039973671135	0.03775652767006045	0.021631014523046006	0.018262899952146004	0.03777027881828133	0.028593679238883115	0.03603992600048771	0.03585245201307642
W_confusaAB3E41	0.876656478402962	0.8602684724821683	0.04732871341401588	0.26822364235076585	0.8818621896752729	0.8528139045668305	0.8455762966347735	1.0	0.015214650909173023	0.03682696467227309	0.040207998207644875	0.02270552641354964	0.019778337741163197	0.034737949976112265	0.028996037602264532	0.038666253999922955	0.03539192935428724
W_halotolerans	0.026309919499994477	0.027906668580704293	0.029059508165947063	0.0298818081766215	0.027456133570379532	0.024954633627432575	0.027473801610000112	0.025296215726763768	1.0	0.030751222959617488	0.030457491800925364	0.016252387945979968	0.018700147601747662	0.03237447409975817	0.023540454289468743	0.02935029465136909	0.030914652326107843
W_hellenica	0.04625191372137538	0.04667140474993765	0.7149173101706756	0.04626842911620067	0.04397113769600333	0.042357033108412004	0.04590343889056184	0.045787831126784834	0.02299603575472877	1.0	0.24306422231483077	0.019308698603403163	0.025430404951975984	0.03568151052003125	0.03018243455637172	0.22524686386415096	0.03060467815073821
W_jogaejeotgali	0.03922504530028448	0.04399954408956314	0.1949114812669658	0.043192396530428535	0.03978516383699806	0.038131790681283716	0.038320202647537036	0.04224568455184702	0.019247329085922835	0.20540300389152122	1.0	0.01729156635474019	0.022393111100256102	0.031895121990932966	0.024904805435568923	0.5655717837961057	0.026731238471397436
W_kandleri	0.03622423821863586	0.03682449090928166	0.03147392385408689	0.031602817066060766	0.03740001408832782	0.035626983044547596	0.035363950966624154	0.03842816226756132	0.016544043260158958	0.026283723934720084	0.027853673231727515	1.0	0.0783550828138887	0.03101755195820263	0.037156465868028336	0.029557761394684502	0.028952263050063022
W_koreensis	0.031193156985577224	0.03233504686188405	0.029323537777407784	0.026021353201939688	0.028855265805046236	0.02747819933817561	0.027640533621927615	0.030988504790248842	0.0176222883584119	0.03204645257965827	0.03339299465129347	0.0725370628594421	1.0	0.03195765433897341	0.02999021831879956	0.025864568808230487	0.02791386570653569
W_minor	0.04761099667005749	0.04562343546702599	0.040108023810021945	0.04593839182266996	0.04537294055580467	0.04505741874889384	0.046593749840966835	0.04436247914191639	0.024866850362934897	0.036649723861873824	0.03876733885628434	0.023404593386821253	0.026048078059416488	1.0	0.029769312846656966	0.03637604544871102	0.15341258321322207
W_oryzae	0.030465241214270553	0.03129032682218536	0.026704691670626952	0.028993048055014473	0.03083669409751507	0.028777502070932003	0.029294061074179752	0.030752635859713846	0.015016370224412014	0.02574623992005545	0.025139517890786278	0.023284131870939143	0.02030076882763647	0.02472298349453105	1.0	0.026324316404599066	0.02266801785979274
W_paramesenteroides	0.04355822551298515	0.04769462833226359	0.20397854181069505	0.0524496483476861	0.04329158887660632	0.04174984332572645	0.03970562911348873	0.0440995786838149	0.02013359101474935	0.20662218346115563	0.6139318652495199	0.019918463728580065	0.018827677488848477	0.03248674517970956	0.028308427889182176	1.0	0.027186837038050766
W_viridescens	0.05065467582373617	0.052807979323082045	0.04585300418365402	0.05119723024018767	0.05269023070272507	0.051078831074966836	0.050883667615811624	0.0519993520573156	0.02731898101254706	0.036165740616052974	0.037380307876862265	0.025133800814872497	0.026175973686761347	0.17649932701133836	0.03140245112293802	0.03502273329026726	1.0
