	WcL17	Wcp3a	W_bombi	W_cibaria	W_confusaLBAE	W_confusaDSM	W_confusaMBF8	W_confusaAB3E41	W_halotolerans	W_hellenica	W_jogaejeotgali	W_kandleri	W_koreensis	W_minor	W_oryzae	W_paramesenteroides	W_viridescens
WcL17	0.0	39054.0	16644.0	82705.0	39092.0	41519.0	45869.0	48089.0	5243.0	11550.0	11488.0	7248.0	6369.0	12718.0	9066.0	11008.0	11623.0
Wcp3a	39054.0	0.0	16260.0	79443.0	33437.0	26946.0	41240.0	41383.0	5558.0	11725.0	12333.0	7368.0	6588.0	11952.0	9313.0	11549.0	12237.0
W_bombi	16644.0	16260.0	0.0	14448.0	15454.0	15724.0	16011.0	15745.0	6158.0	175380.0	66412.0	6989.0	6777.0	11125.0	8649.0	62771.0	11296.0
W_cibaria	82705.0	79443.0	14448.0	0.0	78511.0	79196.0	79603.0	79009.0	6195.0	11042.0	12882.0	6768.0	5708.0	12490.0	9082.0	14176.0	11832.0
W_confusaLBAE	39092.0	33437.0	15454.0	78511.0	0.0	32801.0	40192.0	41375.0	5503.0	11252.0	11969.0	7567.0	5990.0	11982.0	9197.0	11243.0	12439.0
W_confusaDSM	41519.0	26946.0	15724.0	79196.0	32801.0	0.0	41080.0	39174.0	4975.0	10761.0	11915.0	7444.0	6042.0	12184.0	8706.0	11115.0	12290.0
W_confusaMBF8	45869.0	41240.0	16011.0	79603.0	40192.0	41080.0	0.0	45264.0	5542.0	11648.0	11752.0	7131.0	5620.0	12817.0	8967.0	10412.0	12299.0
W_confusaAB3E41	48089.0	41383.0	15745.0	79009.0	41375.0	39174.0	45264.0	0.0	4896.0	11702.0	12662.0	7884.0	6183.0	11623.0	9169.0	11272.0	12150.0
W_halotolerans	5243.0	5558.0	6158.0	6195.0	5503.0	4975.0	5542.0	4896.0	0.0	6094.0	6340.0	3632.0	4199.0	6669.0	5056.0	6062.0	6345.0
W_hellenica	11550.0	11725.0	175380.0	11042.0	11252.0	10761.0	11648.0	11702.0	6094.0	0.0	62835.0	5681.0	7366.0	10128.0	8489.0	62287.0	8701.0
W_jogaejeotgali	11488.0	12333.0	66412.0	12882.0	11969.0	11915.0	11752.0	12662.0	6340.0	62835.0	0.0	5684.0	7535.0	10782.0	8478.0	178693.0	8832.0
W_kandleri	7248.0	7368.0	6989.0	6768.0	7567.0	7444.0	7131.0	7884.0	3632.0	5681.0	5684.0	0.0	14709.0	6296.0	7739.0	5872.0	5812.0
W_koreensis	6369.0	6588.0	6777.0	5708.0	5990.0	6042.0	5620.0	6183.0	4199.0	7366.0	7535.0	14709.0	0.0	7262.0	6380.0	5370.0	5935.0
W_minor	12718.0	11952.0	11125.0	12490.0	11982.0	12184.0	12817.0	11623.0	6669.0	10128.0	10782.0	6296.0	7262.0	0.0	7984.0	9395.0	41127.0
W_oryzae	9066.0	9313.0	8649.0	9082.0	9197.0	8706.0	8967.0	9169.0	5056.0	8489.0	8478.0	7739.0	6380.0	7984.0	0.0	7901.0	7338.0
W_paramesenteroides	11008.0	11549.0	62771.0	14176.0	11243.0	11115.0	10412.0	11272.0	6062.0	62287.0	178693.0	5872.0	5370.0	9395.0	7901.0	0.0	7718.0
W_viridescens	11623.0	12237.0	11296.0	11832.0	12439.0	12290.0	12299.0	12150.0	6345.0	8701.0	8832.0	5812.0	5935.0	41127.0	7338.0	7718.0	0.0
