	WcL17	Wcp3a	W_bombi	W_cibaria	W_confusaLBAE	W_confusaDSM	W_confusaMBF8	W_confusaAB3E41	W_halotolerans	W_hellenica	W_jogaejeotgali	W_kandleri	W_koreensis	W_minor	W_oryzae	W_paramesenteroides	W_viridescens
WcL17	1.0	0.9803685706113672	0.8508415034144068	0.8708099740542128	0.9803207716238937	0.9793426917041397	0.9757119384752568	0.9757115467758163	0.8532975181174627	0.8625261854884784	0.8637506523079843	0.8500589586048533	0.8583533493461436	0.8489548693586698	0.8602543352601156	0.8723784128456321	0.8507288255313684
Wcp3a	0.9803685706113672	1.0	0.8512827548360543	0.8758173408344497	0.9830025635694566	0.9864380676284737	0.978073428493803	0.9787003963147872	0.8533818719003904	0.8616976102290689	0.869601074234238	0.85006105006105	0.858656940570693	0.8518683770217512	0.8602323208068196	0.8777184846367236	0.8492516168771174
W_bombi	0.8508415034144068	0.8512827548360543	1.0	0.8556989333226799	0.8534818677411709	0.8510674572354089	0.8523719515006224	0.852700414440879	0.8439985813446826	0.8649508177028549	0.8414878356735908	0.8335952380952381	0.8396697343206605	0.8431574346900509	0.8479082772082227	0.8445966186624678	0.8397366778275921
W_cibaria	0.8708099740542128	0.8758173408344497	0.8556989333226799	1.0	0.8710164451527049	0.8689270174590749	0.8727368069333444	0.8695743325112499	0.8473799610751152	0.8686195654760488	0.8612511309293007	0.8395143697239875	0.8478231891012824	0.8462617857758302	0.8528992549400712	0.863511197550596	0.8496550146761712
W_confusaLBAE	0.9803207716238937	0.9830025635694566	0.8534818677411709	0.8710164451527049	1.0	0.983354705983547	0.979270079016319	0.9792259657603748	0.8524506649506649	0.8591263631014235	0.8600444340505145	0.848381021078785	0.8559888445448862	0.8506767029735052	0.859942740535437	0.8688511204171381	0.846420722522656
W_confusaDSM	0.9793426917041397	0.9864380676284737	0.8510674572354089	0.8689270174590749	0.983354705983547	1.0	0.9781605180656854	0.9796611119879713	0.8532361791256121	0.8601395874761181	0.8546348485957592	0.8434226578604181	0.8474589108535939	0.8470960293157974	0.8579331277231116	0.8655562812976269	0.8434733879287288
W_confusaMBF8	0.9757119384752568	0.978073428493803	0.8523719515006224	0.8727368069333444	0.979270079016319	0.9781605180656854	1.0	0.9762980712335538	0.8515005359056806	0.8603072568749026	0.8573284286945648	0.8488906783073044	0.8589463644805864	0.8444557711678257	0.8562543082028182	0.8675756111210032	0.8427579682166281
W_confusaAB3E41	0.9757115467758163	0.9787003963147872	0.852700414440879	0.8695743325112499	0.9792259657603748	0.9796611119879713	0.9762980712335538	1.0	0.85751702462022	0.8593053034037488	0.860564481494125	0.8462558502340094	0.8615818576641519	0.8518513797718437	0.8599874784308336	0.8709219370870407	0.8479957964269629
W_halotolerans	0.8532975181174627	0.8533818719003904	0.8439985813446826	0.8473799610751152	0.8524506649506649	0.8532361791256121	0.8515005359056806	0.85751702462022	1.0	0.8541128028344346	0.846759964227878	0.8354848937808579	0.8346980552712385	0.8483525479227778	0.8418863558182443	0.8479520429406305	0.8489069867123875
W_hellenica	0.8625261854884784	0.8616976102290689	0.8649508177028549	0.8686195654760488	0.8591263631014235	0.8601395874761181	0.8603072568749026	0.8593053034037488	0.8541128028344346	1.0	0.8576857830735884	0.8380281690140845	0.8405420617396199	0.8437398750289284	0.8451647028781964	0.8477678549606753	0.8434874894321227
W_jogaejeotgali	0.8637506523079843	0.869601074234238	0.8414878356735908	0.8612511309293007	0.8600444340505145	0.8546348485957592	0.8573284286945648	0.860564481494125	0.846759964227878	0.8576857830735884	1.0	0.8470768651295435	0.8434610989924172	0.8427362893815635	0.8416333545036799	0.8530149162390743	0.8462930734423947
W_kandleri	0.8500589586048533	0.85006105006105	0.8335952380952381	0.8395143697239875	0.848381021078785	0.8434226578604181	0.8488906783073044	0.8462558502340094	0.8354848937808579	0.8380281690140845	0.8470768651295435	1.0	0.8593247895944912	0.8478896378439758	0.843918278442208	0.851126942676774	0.8495664552866572
W_koreensis	0.8583533493461436	0.858656940570693	0.8396697343206605	0.8478231891012824	0.8559888445448862	0.8474589108535939	0.8589463644805864	0.8615818576641519	0.8346980552712385	0.8405420617396199	0.8434610989924172	0.8593247895944912	1.0	0.8423566187643815	0.8524173027989822	0.8559665262988494	0.8524989437582324
W_minor	0.8489548693586698	0.8518683770217512	0.8431574346900509	0.8462617857758302	0.8506767029735052	0.8470960293157974	0.8444557711678257	0.8518513797718437	0.8483525479227778	0.8437398750289284	0.8427362893815635	0.8478896378439758	0.8423566187643815	1.0	0.8483484339088647	0.8539584337255756	0.8484132542110501
W_oryzae	0.8602543352601156	0.8602323208068196	0.8479082772082227	0.8528992549400712	0.859942740535437	0.8579331277231116	0.8562543082028182	0.8599874784308336	0.8418863558182443	0.8451647028781964	0.8416333545036799	0.843918278442208	0.8524173027989822	0.8483484339088647	1.0	0.8590541769984124	0.8479832611713036
W_paramesenteroides	0.8723784128456321	0.8777184846367236	0.8445966186624678	0.863511197550596	0.8688511204171381	0.8655562812976269	0.8675756111210032	0.8709219370870407	0.8479520429406305	0.8477678549606753	0.8530149162390743	0.851126942676774	0.8559665262988494	0.8539584337255756	0.8590541769984124	1.0	0.8566386804368824
W_viridescens	0.8507288255313684	0.8492516168771174	0.8397366778275921	0.8496550146761712	0.846420722522656	0.8434733879287288	0.8427579682166281	0.8479957964269629	0.8489069867123875	0.8434874894321227	0.8462930734423947	0.8495664552866572	0.8524989437582324	0.8484132542110501	0.8479832611713036	0.8566386804368824	1.0
