	WcL17	Wcp3a	W_bombi	W_cibaria	W_confusaLBAE	W_confusaDSM	W_confusaMBF8	W_confusaAB3E41	W_halotolerans	W_hellenica	W_jogaejeotgali	W_kandleri	W_koreensis	W_minor	W_oryzae	W_paramesenteroides	W_viridescens
WcL17	2310516.0	1989361.0	111586.0	640181.0	1986460.0	2009894.0	1888541.0	1979912.0	35739.0	84016.0	84316.0	48339.0	44964.0	84200.0	64875.0	86255.0	77865.0
Wcp3a	1989361.0	2226747.0	109335.0	639727.0	1967179.0	1986885.0	1880823.0	1942900.0	37908.0	84778.0	94579.0	49140.0	46610.0	80685.0	66632.0	94446.0	81175.0
W_bombi	111586.0	109335.0	1820901.0	100124.0	105475.0	105578.0	108455.0	106891.0	39474.0	1298638.0	418971.0	42000.0	42269.0	70931.0	56867.0	403923.0	70484.0
W_cibaria	640181.0	639727.0	100124.0	2577731.0	608690.0	604213.0	625499.0	605778.0	40591.0	84046.0	92844.0	42172.0	37509.0	81242.0	61740.0	103862.0	78699.0
W_confusaLBAE	1986460.0	1967179.0	105475.0	608690.0	2284024.0	1970587.0	1938840.0	1991669.0	37296.0	79873.0	85520.0	49908.0	41594.0	80242.0	65666.0	85727.0	80994.0
W_confusaDSM	2009894.0	1986885.0	105578.0	604213.0	1970587.0	2218304.0	1880997.0	1926064.0	33898.0	76941.0	81966.0	47542.0	39609.0	79684.0	61281.0	82674.0	78517.0
W_confusaMBF8	1888541.0	1880823.0	108455.0	625499.0	1938840.0	1880997.0	2181636.0	1909718.0	37320.0	83383.0	82371.0	47191.0	39843.0	82401.0	62381.0	78626.0	78217.0
W_confusaAB3E41	1979912.0	1942900.0	106891.0	605778.0	1991669.0	1926064.0	1909718.0	2258481.0	34362.0	83173.0	90809.0	51280.0	44669.0	78455.0	65487.0	87327.0	79932.0
W_halotolerans	35739.0	37908.0	39474.0	40591.0	37296.0	33898.0	37320.0	34362.0	1358385.0	41772.0	41373.0	22077.0	25402.0	43977.0	31977.0	39869.0	41994.0
W_hellenica	84016.0	84778.0	1298638.0	84046.0	79873.0	76941.0	83383.0	83173.0	41772.0	1816487.0	441523.0	35074.0	46194.0	64815.0	54826.0	409158.0	55593.0
W_jogaejeotgali	84316.0	94579.0	418971.0	92844.0	85520.0	81966.0	82371.0	90809.0	41373.0	441523.0	2149545.0	37169.0	48135.0	68560.0	53534.0	1215722.0	57460.0
W_kandleri	48339.0	49140.0	42000.0	42172.0	49908.0	47542.0	47191.0	51280.0	22077.0	35074.0	37169.0	1334438.0	104560.0	41391.0	49583.0	39443.0	38635.0
W_koreensis	44964.0	46610.0	42269.0	37509.0	41594.0	39609.0	39843.0	44669.0	25402.0	46194.0	48135.0	104560.0	1441470.0	46066.0	43230.0	37283.0	40237.0
W_minor	84200.0	80685.0	70931.0	81242.0	80242.0	79684.0	82401.0	78455.0	43977.0	64815.0	68560.0	41391.0	46066.0	1768499.0	52647.0	64331.0	271310.0
W_oryzae	64875.0	66632.0	56867.0	61740.0	65666.0	61281.0	62381.0	65487.0	31977.0	54826.0	53534.0	49583.0	43230.0	52647.0	2129476.0	56057.0	48271.0
W_paramesenteroides	86255.0	94446.0	403923.0	103862.0	85727.0	82674.0	78626.0	87327.0	39869.0	409158.0	1215722.0	39443.0	37283.0	64331.0	56057.0	1980223.0	53836.0
W_viridescens	77865.0	81175.0	70484.0	78699.0	80994.0	78517.0	78217.0	79932.0	41994.0	55593.0	57460.0	38635.0	40237.0	271310.0	48271.0	53836.0	1537173.0
