	WcL17	Wcp3a	W_bombi	W_cibaria	W_confusaLBAE	W_confusaDSM	W_confusaMBF8	W_confusaAB3E41	W_halotolerans	W_hellenica	W_jogaejeotgali	W_kandleri	W_koreensis	W_minor	W_oryzae	W_paramesenteroides	W_viridescens
WcL17	1.0	0.8441001923379886	0.04109125407484735	0.24127770593235448	0.8428281821030453	0.8519200905771699	0.7975153602052529	0.8361002477368692	0.013198783302084901	0.031363556885128686	0.031520231844315294	0.01778433908269841	0.016704060911069216	0.030937677990544102	0.02415434474377152	0.032567184126835735	0.02866978631613025
Wcp3a	0.8758547782931784	1.0	0.04179864169571128	0.2516154731543368	0.8684156754224884	0.8801803707381216	0.8261302249424833	0.853943892144011	0.014527918977773405	0.03280704992529462	0.036935493794310714	0.01875920344789956	0.017973303657757254	0.030867000157629044	0.02574113718352377	0.037227848516243646	0.030959062704474283
W_bombi	0.05214012184078102	0.051114805253003874	1.0	0.047051432230527636	0.04943761357701489	0.04934590073815106	0.050768273508554285	0.050055439587325175	0.018296436763997604	0.6168693410569822	0.19361788477242858	0.019227294619531758	0.019491449562606643	0.03284417988677034	0.026480297391236536	0.18735340361722025	0.03250478746510656
W_cibaria	0.2162661658644754	0.21735549597688822	0.033236982446965956	1.0	0.20567662025246233	0.20367408391333308	0.21177384296499518	0.2043537514193684	0.01334351800090855	0.02832103117043632	0.03102030429086666	0.013734559579723409	0.012336818698304828	0.026671518478848258	0.020428043112334066	0.03479261412459252	0.02594025520894151
W_confusaLBAE	0.852604000658487	0.8466382139592229	0.03941333366024175	0.2321249689145123	1.0	0.8484087732878464	0.8312732265510344	0.853885073011492	0.013919731141178903	0.03004390496772363	0.03220237615716822	0.018537896274294842	0.015588277531234348	0.029885850586508726	0.024723470506439513	0.032610865735211186	0.030015008598858854
W_confusaDSM	0.8873332960676266	0.8835303907850321	0.0405057196849485	0.23667495528115173	0.8735439326620698	1.0	0.8294250923227835	0.8506002784108941	0.01303833919967687	0.029833602608118633	0.0315786294394276	0.018075971553042323	0.015131830443437872	0.030428651798851736	0.023700538789994518	0.03225842806035602	0.029854789965667466
W_confusaMBF8	0.8446285264819613	0.8432126165868183	0.0423737048710234	0.25022322697278554	0.8702863355756872	0.8433657127036774	1.0	0.8546127768335322	0.014566132938767054	0.03288128725415239	0.03236974454033578	0.018362366590943677	0.015686851518768485	0.03189532992671555	0.024483461035663148	0.03126736082462886	0.030214939614124442
W_confusaAB3E41	0.855363848533594	0.8419450949554148	0.04035721354308493	0.23324039476090344	0.8635423543523278	0.8354686180667448	0.8255345074853407	1.0	0.013046822178269375	0.03164560605114676	0.03460157512947862	0.019214684560109208	0.017040656972540393	0.029591570617596517	0.02493622926205711	0.03367528883351244	0.030012207319875615
W_halotolerans	0.022450189011215524	0.02381504507190524	0.02452618366663354	0.025321245449559587	0.023404999319044304	0.021292196247750084	0.023393956794281447	0.02169193564416568	1.0	0.02626501323262551	0.02579018466782245	0.01357862461673237	0.01560897683646389	0.02746496759018982	0.019818387276066798	0.02488764231053788	0.026243664351417312
W_hellenica	0.03989348671364012	0.04021663793905489	0.6183683120220514	0.04018966279417359	0.03777676361019925	0.03643296098458178	0.039491061593063974	0.03934572611860145	0.01964120855255226	1.0	0.20847272785326842	0.016181233336654763	0.021375325009207333	0.03010591322701456	0.025509128333976516	0.1909570506147305	0.025814663138244313
W_jogaejeotgali	0.03388065846493095	0.03826205080610083	0.1640156405192727	0.03719950035937838	0.03421700871579799	0.03258875715558409	0.03285299912307023	0.0363551356217246	0.016297867688278216	0.17617123623836672	1.0	0.014647285820952809	0.018887718098481308	0.026879176756011154	0.020960714941999355	0.482441167782019	0.022622461962880515
W_kandleri	0.030792738216387724	0.03130306541030756	0.026236513048938957	0.02653101905071648	0.0317294621406165	0.030048604730980387	0.03002012832368383	0.032520057132665585	0.013822298225919825	0.022026501043885142	0.023594202203474423	1.0	0.06733246505270384	0.02629946089664713	0.031357020708343133	0.0251574070882274	0.024596871491968902
W_koreensis	0.026774750775250267	0.027764712411635344	0.024622087174897847	0.022061506656399374	0.024699785635497094	0.023286644883348247	0.02374173586685814	0.026699133523417067	0.0147092898221954	0.02693639132274692	0.0281656919672279	0.06233289627949246	1.0	0.026919741652618505	0.025564181009663747	0.02213920511699862	0.02379654103103082
W_minor	0.04041958745806472	0.03886516192545204	0.03381737846614558	0.03887590549952248	0.03859770347622475	0.03816796051340714	0.039346360953554406	0.037790239067141115	0.021095855864210273	0.03092283343106216	0.032670643296942775	0.019844512210637384	0.021941770959440745	1.0	0.025254749932004484	0.031063630796511615	0.13015726896085325
W_oryzae	0.02620785582932139	0.02691695046105239	0.022643129107818075	0.024728149084563524	0.026517791231270044	0.024689172359773016	0.02508316599952289	0.02644688176809694	0.012642077205847823	0.021759813212264424	0.021158256773027732	0.019649904483544308	0.017304726608799535	0.020973704329140128	1.0	0.022614013963998657	0.019222099709036402
W_paramesenteroides	0.037999255639390106	0.04186245690510614	0.17227958669301385	0.04529085865581806	0.03761394550007752	0.03613683913377433	0.03444763544307888	0.03840729049203044	0.017072319632687835	0.17516764526015502	0.5236930386123179	0.016953141136124568	0.016115861698404673	0.027742330030506666	0.024318473222460297	1.0	0.02328929620552837
W_viridescens	0.043093392871199274	0.04484726182414081	0.03850444940159631	0.043499983411105975	0.04459810314128598	0.04308363469824151	0.04288261633531164	0.044095231961529376	0.023191273851414253	0.030505349755687874	0.03163469563933272	0.021352834066172124	0.022314989919807335	0.14974436839574987	0.026628752912001445	0.03000182803106742	1.0
